#{"t_start": 1785149444.875367, "env_id": "None"}
r,l,t
-297.606049,52,0.024338
-312.626712,52,0.040948
-262.242604,52,0.058351
-231.839931,52,0.074863
-281.351135,52,0.091155
-318.309658,52,0.108762
-269.140407,52,0.125368
-310.076443,52,0.142428
-309.023379,52,0.159088
-299.567546,52,0.175597
-281.816915,52,0.193418
-274.977584,52,0.210003
-764.689227,52,0.227178
-280.399472,52,0.243562
-291.175222,52,0.259934
-290.693096,52,0.276979
-275.508425,52,0.293407
-304.402314,52,0.31042
-644.716554,52,0.326782
-278.421438,52,0.344113
-305.868899,52,0.361568
-267.713703,52,0.378105
-389.737067,52,0.395427
-286.936788,52,0.411803
-308.140054,52,0.428603
-276.971276,52,0.44565
-331.270392,52,0.461944
-318.677673,52,0.478861
-834.715578,52,0.496066
-276.837833,52,0.517153
-268.152502,52,0.536954
-477.146331,52,0.555839
-330.50301,52,0.58768
-306.270881,52,0.608058
-294.588698,52,0.627682
-265.638653,52,0.649333
-291.535853,52,0.668365
-305.025948,52,0.69066
-294.655103,52,0.71075
-265.518372,52,0.730492
-304.10828,52,0.74813
-603.219458,52,0.764864
-277.531975,52,0.782146
-266.811286,52,0.798706
-450.404269,52,0.815156
-293.764351,52,0.832258
-305.292435,52,0.848638
-297.372572,52,0.865869
-274.311139,52,0.883369
-308.701026,52,0.899871
-279.497529,52,0.917369
-304.263833,52,0.933999
-373.497689,52,0.951144
-359.172107,52,0.967555
-299.803336,52,0.983912
-292.191465,52,1.001049
-814.110656,52,1.017317
-265.989715,52,1.034631
-279.84518,52,1.052003
-294.19717,52,1.068734
-951.99103,52,1.085792
-290.378803,52,1.102348
-296.407508,52,1.119612
-296.68507,52,1.136035
-294.367375,52,1.152512
-381.269354,52,1.169746
-304.413448,52,1.186156
-360.124949,52,1.204563
-437.673848,52,1.221717
-275.612652,52,1.238257
-298.788654,52,1.255618
-860.969393,52,1.272088
-292.635853,52,1.289319
-722.965134,52,1.305682
-304.082982,52,1.322061
-305.18145,52,1.339207
-281.919086,52,1.355775
-840.126059,52,1.373966
-504.20079,52,1.390472
-440.954964,52,1.406789
-276.109052,52,1.423968
-319.866843,52,1.44065
-500.354927,52,1.457855
-295.658926,52,1.474282
-288.216785,52,1.490651
-281.617694,52,1.507685
-300.661702,52,1.524498
-294.526796,52,1.542336
-267.610631,52,1.558734
-289.619133,52,1.575304
-279.383832,52,1.592707
-305.461401,52,1.609103
-297.566792,52,1.626236
-301.407482,52,1.642554
-274.569289,52,1.658806
-296.695868,52,1.676031
-268.994414,52,1.69334
-293.426264,52,1.710855
-298.315587,52,1.727338
-298.939127,52,1.743909
-283.389093,52,1.76111
-347.187016,52,1.777612
-337.501213,52,1.794741
-1310.347508,52,1.811031
-261.836243,52,1.827405
-300.461596,52,1.844699
-316.164246,52,1.861827
-308.522246,52,1.879268
-400.648973,52,1.895423
-284.457601,52,1.911833
-316.131901,52,1.928965
-382.969161,52,1.945571
-337.19202,52,1.96274
-423.531648,52,1.978912
-299.335682,52,1.995181
-290.333013,52,2.01349
-282.951463,52,2.030185
-334.792736,52,2.047519
-291.752645,52,2.064146
-289.241552,52,2.080427
-563.052473,52,2.097712
-287.745322,52,2.114213
-305.448781,52,2.131236
-679.443535,52,2.147556
-310.627516,52,2.163905
-467.982959,52,2.182166
-308.24881,52,2.198863
-282.641624,52,2.216262
-311.747135,52,2.232701
-280.376164,52,2.248992
-294.199092,52,2.266111
-294.104235,52,2.282507
-462.446637,52,2.299676
-261.281697,52,2.316008
-747.268326,52,2.332642
-279.832744,52,2.350733
-261.353722,52,2.367198
-755.020277,52,2.384448
-265.201294,52,2.400795
-567.639525,52,2.417142
-672.777022,52,2.434597
-353.364559,52,2.450923
-410.025132,52,2.467946
-286.678369,52,2.484182
-658.538099,52,2.501434
-278.288961,52,2.518846
-279.246475,52,2.535248
-792.68366,52,2.552394
-1376.044424,52,2.568738
-319.439567,52,2.585169
-878.272172,52,2.602215
-404.983492,52,2.6185
-1616.030821,52,2.635533
-237.974051,52,2.652019
-2331.422431,52,2.669214
-334.812696,52,2.686277
-744.758748,52,2.702778
-541.798788,52,2.719964
-2040.253757,52,2.736362
-1057.085233,52,2.752789
-544.893131,52,2.769832
-2078.981616,52,2.786034
-1175.144007,52,2.802943
-2024.120065,52,2.820156
-1796.584709,52,2.837056
-966.215939,52,2.854449
-744.966094,52,2.870857
-4429.043795,52,2.887939
-816.512635,52,2.904238
-1499.456354,52,2.920527
-988.828983,52,2.937502
-1159.678271,52,2.953663
-1571.017041,52,2.970594
-704.212756,52,2.98785
-2131.071302,52,3.004276
-2203.39419,52,3.021565
-6138.967199,52,3.037788
-6607.827971,52,3.054656
-6124.414084,52,3.071072
-4809.436602,52,3.087264
-8817.585729,52,3.104185
-3134.708239,52,3.12029
-6251.668566,52,3.137463
-7965.190472,52,3.154672
-5531.866987,52,3.171337
-5899.021498,52,3.188325
-7421.440761,52,3.204723
-6429.988825,52,3.221763
-7466.994618,52,3.237885
-10008.413224,52,3.254053
-5833.697223,52,3.271043
-5149.896879,52,3.287168
-9597.420998,52,3.304776
-8150.090481,52,3.321372
-5861.112971,52,3.337812
-9690.088685,52,3.354894
-9435.776848,52,3.371113
-7775.373137,52,3.388115
-10753.089954,52,3.404235
-6275.688354,52,3.42038
-4396.341606,52,3.437564
-5135.634003,52,3.453936
-8414.387984,52,3.471866
-4196.414172,52,3.488408
-9499.040623,52,3.504553
-5739.339135,52,3.521498
-10129.199631,52,3.537739
-5641.707486,52,3.55466
-11815.220105,52,3.570758
-6817.794105,52,3.586863
-9204.432964,52,3.603711
-9772.537511,52,3.620334
-7550.786945,52,3.638022
-10975.737639,52,3.654289
-8471.601273,52,3.670528
-4460.696927,52,3.687505
-7940.235952,52,3.703607
-4020.576859,52,3.720635
-3878.566327,52,3.736882
-7905.999086,52,3.752991
-3590.046465,52,3.769944
-8948.537247,52,3.78718
-10213.619823,52,3.80446
-8547.934561,52,3.820765
-6317.146738,52,3.837167
-7716.269413,52,3.854108
-9223.274802,52,3.870224
-5542.457765,52,3.887218
-9042.786892,52,3.903364
-11369.914131,52,3.919386
-12725.255484,52,3.936387
-5113.145091,52,3.953616
-9993.718605,52,3.970657
-9136.293601,52,3.986771
-7951.210715,52,4.003029
-8020.124341,52,4.019966
-11355.880908,52,4.036148
-7075.779942,52,4.052999
-8259.749837,52,4.069185
-12426.334082,52,4.085341
-6938.859371,52,4.102978
-10983.990976,52,4.119453
-6038.307547,52,4.136623
-12526.906593,52,4.152891
-11150.56904,52,4.168899
-10573.56273,52,4.185741
-9304.717533,52,4.201909
-5951.350378,52,4.218766
-7156.870786,52,4.23509
-7736.041584,52,4.251217
-8961.804841,52,4.269306
-9073.042409,52,4.286219
-8492.703661,52,4.304431
-9639.648019,52,4.321939
-12533.479727,52,4.338248
-9109.827345,52,4.355163
-7580.580897,52,4.371476
-6534.395017,52,4.388358
-8800.710473,52,4.404473
-13676.444183,52,4.42088
-10622.649839,52,4.438857
-9605.43987,52,4.455136
-9233.524696,52,4.47218
-8940.062807,52,4.488219
-6866.814863,52,4.504412
-12034.225498,52,4.521292
-9188.298009,52,4.537396
-7472.554924,52,4.554227
-7567.720061,52,4.570275
-8931.653282,52,4.587556
-12676.308586,52,4.604961
-10666.653792,52,4.621366
-13843.455704,52,4.63841
-9612.330438,52,4.654581
-10364.04898,52,4.670616
-6906.86015,52,4.68755
-7557.307901,52,4.703827
-13198.704471,52,4.720813
-12273.479981,52,4.737161
