rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/entropy_loss,train/value_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/policy_loss,time/iterations,time/time_elapsed,time/fps
-288.0240353333333,0.005215048789978027,0.0007,-1.5942981243133545,402.8173828125,500,99,52.0,-28.653579711914062,100,0,3042
-331.5875091052631,-0.009111404418945312,0.0007,-1.5883209705352783,153.17091369628906,1000,199,52.0,-17.77414321899414,200,0,3070
-323.71071296428573,0.005135715007781982,0.0007,-1.6060994863510132,144.85287475585938,1500,299,52.0,-16.37322235107422,300,0,3074
-334.5872434210527,4.8279762268066406e-05,0.0007,-1.5932822227478027,365.75592041015625,2000,399,52.0,-25.630664825439453,400,0,2875
-334.85402814583335,3.409385681152344e-05,0.0007,-1.6026942729949951,346.3979797363281,2500,499,52.0,-29.613332748413086,500,0,2900
-339.97442335087715,0.0002090930938720703,0.0007,-1.6035168170928955,262.096435546875,3000,599,52.0,-22.56827735900879,600,1,2929
-343.79234005970153,-0.0004767179489135742,0.0007,-1.60550856590271,316.81744384765625,3500,699,52.0,-26.646808624267578,700,1,2949
-353.8437065657895,-0.00045990943908691406,0.0007,-1.605588674545288,228.89614868164062,4000,799,52.0,-21.70155906677246,800,1,2964
-359.54821889534884,5.9604644775390625e-06,0.0007,-1.5969939231872559,332.86114501953125,4500,899,52.0,-26.770986557006836,900,1,2977
-352.3817682395833,3.260374069213867e-05,0.0007,-1.6001752614974976,51.08319854736328,5000,999,52.0,-10.507843971252441,1000,1,2987
-361.42919785000004,-3.337860107421875e-06,0.0007,-1.5981433391571045,404.8577575683594,5500,1099,52.0,-28.797643661499023,1100,1,2996
-361.13159005999995,1.7881393432617188e-06,0.0007,-1.5905402898788452,280.9884948730469,6000,1199,52.0,-24.787216186523438,1200,1,3004
-363.96409704000007,-1.3113021850585938e-06,0.0007,-1.5907673835754395,283.8537902832031,6500,1299,52.0,-23.346961975097656,1300,2,3010
-359.38892581,7.092952728271484e-06,0.0007,-1.575080156326294,249.19723510742188,7000,1399,52.0,-24.653793334960938,1400,2,3015
-373.6941992500001,-2.3245811462402344e-05,0.0007,-1.5105551481246948,210.7889404296875,7500,1499,52.0,-19.90276336669922,1500,2,3020
-410.85842753,-1.4543533325195312e-05,0.0007,-1.3093544244766235,141.89895629882812,8000,1599,52.0,-12.4124174118042,1600,2,3025
-480.2888024099999,1.6093254089355469e-06,0.0007,-1.3073570728302002,57.57301712036133,8500,1699,52.0,-7.198747158050537,1700,2,3029
-602.22763531,-1.430511474609375e-06,0.0007,-1.2870633602142334,72815.7578125,9000,1799,52.0,-342.99822998046875,1800,2,3033
-968.98975243,8.26716423034668e-05,0.0007,-0.7721306681632996,100803.2265625,9500,1899,52.0,-69.1734848022461,1900,3,3038
-1617.5404246899998,0.0,0.0007,-0.2883261442184448,459692.3125,10000,1999,52.0,-37.360435485839844,2000,3,3041
-2310.75721587,-5.245208740234375e-06,0.0007,-0.6445700526237488,129094.7890625,10500,2099,52.0,-419.8712463378906,2100,3,3045
-3034.85633252,5.960464477539063e-08,0.0007,-0.25981536507606506,562069.625,11000,2199,52.0,-34.198734283447266,2200,3,3049
-3685.5726584300005,-3.5762786865234375e-07,0.0007,-0.4698368012905121,10744.033203125,11500,2299,52.0,-8.282754898071289,2300,3,3052
-4422.449453690001,-2.384185791015625e-07,0.0007,-0.6043494939804077,426004.4375,12000,2399,52.0,-519.8821411132812,2400,3,3055
-5301.14090426,1.1920928955078125e-07,0.0007,-0.19278354942798615,635931.875,12500,2499,52.0,-26.359146118164062,2500,4,3058
-6130.48180696,-1.1920928955078125e-07,0.0007,-0.23034438490867615,646178.375,13000,2599,52.0,-34.08711242675781,2600,4,3061
-6846.44066129,1.1920928955078125e-07,0.0007,-0.14670169353485107,683491.4375,13500,2699,52.0,-17.117300033569336,2700,4,3061
-7642.182536550003,1.7881393432617188e-07,0.0007,-0.08954723924398422,141339.21875,14000,2799,52.0,-4.959242820739746,2800,4,3064
-8349.71122892,0.0,0.0007,-0.12315712869167328,364670.3125,14500,2899,52.0,-10.925374031066895,2900,4,3065
-8725.33669663,0.0,0.0007,-0.05057625100016594,808879.625,15000,2999,52.0,-5.988061428070068,3000,4,3068
-8937.54191607,1.1920928955078125e-07,0.0007,-0.05818021297454834,566442.8125,15500,3099,52.0,-5.792782783508301,3100,5,3070
-9211.58041502,7.152557373046875e-07,0.0007,-0.036298900842666626,4471.98828125,16000,3199,52.0,-0.11776866018772125,3200,5,3072
-9423.72163303,0.0,0.0007,-0.013749252073466778,368741.3125,16500,3299,52.0,-0.9193596839904785,3300,5,3074
-9668.30081448,-1.1920928955078125e-07,0.0007,-0.025784682482481003,569142.75,17000,3399,52.0,-2.3165268898010254,3400,5,3076
-9756.998415729999,1.1920928955078125e-07,0.0007,-0.026494387537240982,978472.375,17500,3499,52.0,-2.942404270172119,3500,5,3078
-9680.388871789999,0.0,0.0007,-0.5148763656616211,18.8007755279541,18000,3599,52.0,-2.225742816925049,3600,5,3079
-9631.373753759999,0.0,0.0007,-0.5677617788314819,220224.828125,18500,3699,52.0,-69.85511779785156,3700,6,3081
-9423.131359250001,0.0,0.0007,-0.2816318869590759,581436.125,19000,3799,52.0,-45.317909240722656,3800,6,3082
-9160.3163858,0.0,0.0007,-0.6288998126983643,452595.09375,19500,3899,52.0,-124.01713562011719,3900,6,3083
-8804.943278019999,9.5367431640625e-07,0.0007,-0.7820402979850769,11122.1455078125,20000,3999,52.0,-22.486019134521484,4000,6,3084
-8517.535834999999,-1.1920928955078125e-07,0.0007,-0.229056715965271,170819.234375,20500,4099,52.0,-18.712522506713867,4100,6,3085
-8460.660401180001,0.0,0.0007,-0.1672128140926361,529645.625,21000,4199,52.0,-20.97645378112793,4200,6,3086
-8444.03776243,0.0,0.0007,-0.15352582931518555,1010413.625,21500,4299,52.0,-26.18607521057129,4300,6,3087
-8458.03254487,0.0,0.0007,-0.2570658028125763,668242.375,22000,4399,52.0,-40.41653823852539,4400,7,3089
-8056.066604850002,-3.5762786865234375e-07,0.0007,-0.9403244256973267,218142.09375,22500,4499,52.0,-396.413330078125,4500,7,3089
-7694.85316969,0.0,0.0007,-0.734244704246521,83972.921875,23000,4599,52.0,-159.68585205078125,4600,7,3090
-7438.053231520001,-8.344650268554688e-07,0.0007,-0.8932660222053528,406754.09375,23500,4699,52.0,-208.9554901123047,4700,7,3090
-7488.75513052,0.0,0.0007,-0.4587194323539734,287282.0,24000,4799,52.0,-306.781494140625,4800,7,3091
-7516.62760864,0.0,0.0007,-0.26251429319381714,19322.146484375,24500,4899,52.0,-4.809432029724121,4900,7,3092
-7879.434095579999,-1.1920928955078125e-07,0.0007,-0.33376267552375793,418553.90625,25000,4999,52.0,-41.95697021484375,5000,8,3092
-8229.79444339,0.0,0.0007,-0.25820261240005493,548626.5625,25500,5099,52.0,-824.8804931640625,5100,8,3085
-8296.894659780002,0.0,0.0007,-0.28955695033073425,69.67312622070312,26000,5199,52.0,-0.4937443733215332,5200,8,3085
-8049.205771499999,1.1920928955078125e-07,0.0007,-0.5050848722457886,161806.28125,26500,5299,52.0,-258.90081787109375,5300,8,3086
