#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-480.549063,52,2.856728
-322.710282,52,2.86063
-279.829184,52,2.91155
-294.464637,52,2.921104
-311.298685,52,2.947165
-370.890669,52,2.958445
-293.590484,52,2.969882
-269.527715,52,2.980234
-298.052875,52,2.990955
-289.561293,52,3.000691
-296.778816,52,3.011485
-287.398636,52,3.022673
-246.091044,52,3.033472
-288.098701,52,3.044869
-283.45333,52,3.054844
-486.524828,52,3.064571
-285.679827,52,3.07543
-314.73985,52,3.085508
-257.457529,52,3.095322
-312.997548,52,3.105203
-304.261577,52,3.115785
-1051.87001,52,3.126954
-280.466936,52,3.136924
-281.264362,52,3.146493
-283.565651,52,3.156916
-306.277486,52,3.166774
-250.938983,52,3.17753
-307.704622,52,3.187626
-454.150258,52,3.197918
-268.539929,52,3.208661
-279.856671,52,3.21937
-312.606586,52,3.229155
-276.198275,52,3.239922
-276.121546,52,3.250028
-303.99316,52,3.260326
-294.112442,52,3.270182
-324.993678,52,3.28079
-794.428898,52,3.290829
-273.772553,52,3.301044
-280.212844,52,3.310836
-246.364553,52,3.320978
-587.430601,52,3.332124
-297.348013,52,3.342958
-377.327424,52,3.353215
-287.0579,52,3.363663
-733.339575,52,3.374379
-305.15234,52,3.38498
-339.389527,52,3.394896
-269.903006,52,3.405975
-305.263259,52,3.416377
-312.838187,52,3.426669
-292.982878,52,3.436331
-296.045966,52,3.44685
-292.611161,52,3.457556
-287.456226,52,3.46779
-249.327382,52,3.477597
-1272.185167,52,3.487657
-274.579181,52,3.497476
-284.213368,52,3.508102
-1451.779012,52,3.518869
-570.907205,52,3.529474
-275.256615,52,3.540641
-641.045848,52,3.55105
-308.820848,52,3.561315
-282.391661,52,3.572126
-1741.218207,52,3.582649
-272.976988,52,3.592894
-391.614864,52,3.602951
-2652.442356,52,3.613663
-240.694017,52,3.624372
-221.764296,52,3.634763
-1506.068835,52,3.64468
-280.739281,52,3.655045
-286.827134,52,3.664863
-279.280803,52,3.676344
-330.804724,52,3.686697
-1009.554397,52,3.697422
-1361.189632,52,3.708262
-558.227329,52,3.718893
-701.418334,52,3.729172
-425.290275,52,3.739464
-364.067391,52,3.750165
-290.677156,52,3.761027
-599.234096,52,3.770987
-309.558277,52,3.782479
-786.361969,52,3.79407
-281.563557,52,3.804335
-236.44919,52,3.814312
-831.499562,52,3.824555
-768.014056,52,3.834498
-1708.806484,52,3.84578
-270.580792,52,3.856034
-288.260148,52,3.86691
-697.132872,52,3.878067
-240.818092,52,3.889055
-465.891219,52,3.899393
-2852.802767,52,3.911041
-374.867737,52,3.921735
-861.376001,52,3.932164
-257.88422,52,3.942208
-262.732577,52,3.953779
-539.651768,52,3.964336
-572.609942,52,3.974648
-1108.522085,52,3.985026
-1995.426522,52,3.996221
-457.523472,52,4.007269
-243.884251,52,4.017852
-906.306484,52,4.028419
-625.197345,52,4.038841
-278.969869,52,4.04903
-879.738771,52,4.061558
-500.111645,52,4.071972
-969.542475,52,4.082995
-2629.737311,52,4.094864
-455.09158,52,4.105389
-227.197543,52,4.115932
-532.3122,52,4.127594
-546.524439,52,4.13866
-1800.29821,52,4.149149
-292.437541,52,4.159495
-1283.278423,52,4.170161
-528.564384,52,4.180317
-527.754915,52,4.191456
-1357.907032,52,4.202313
-325.122616,52,4.214089
-1263.371796,52,4.225376
-770.904555,52,4.236327
-2123.729989,52,4.2469
-961.337988,52,4.259334
-410.335381,52,4.27005
-488.051404,52,4.280754
-423.077134,52,4.291251
-1064.065525,52,4.303025
-1092.88843,52,4.31397
-605.437935,52,4.32479
-1106.10876,52,4.335428
-3499.146277,52,4.346963
-798.73402,52,4.357725
-685.205411,52,4.36865
-792.464538,52,4.378857
-537.570585,52,4.389321
-2231.394925,52,4.399942
-417.810838,52,4.411634
-455.918979,52,4.422544
-1665.946361,52,4.433561
-901.555114,52,4.445356
-248.61205,52,4.456269
-313.543415,52,4.467086
-244.75224,52,4.478136
-369.762157,52,4.489033
-1560.213539,52,4.499398
-874.365764,52,4.509857
-407.993333,52,4.521539
-406.058358,52,4.532706
-2488.161679,52,4.54389
-1067.799764,52,4.554532
-223.093791,52,4.565897
-2338.378961,52,4.576836
-2740.399161,52,4.587342
-893.57281,52,4.597908
-2616.50316,52,4.608998
-470.235443,52,4.62003
-2368.851062,52,4.631098
-1008.100967,52,4.641963
-3177.983965,52,4.653411
-2473.100964,52,4.664631
-1913.401557,52,4.675428
-1793.23129,52,4.686002
-258.282842,52,4.697368
-285.36437,52,4.708282
-349.00034,52,4.7188
-624.45106,52,4.729512
-1120.015836,52,4.740525
-228.719795,52,4.751248
-745.980387,52,4.762545
-1151.908098,52,4.773543
-1419.590611,52,4.78499
-4714.556141,52,4.796755
-646.769767,52,4.807873
-731.415431,52,4.818616
-3291.25974,52,4.830328
-881.696071,52,4.84176
-1631.904953,52,4.852396
-666.228023,52,4.862953
-515.835951,52,4.873987
-3093.773397,52,4.885339
-954.249,52,4.896286
-546.21603,52,4.907359
-602.023029,52,4.918315
-2867.202244,52,4.929895
-1411.100409,52,4.940834
-733.324281,52,4.951597
-1245.407855,52,4.9634
-282.437173,52,4.974769
-527.888949,52,4.985741
-1288.188547,52,4.996377
-1667.740379,52,5.007657
-1397.123786,52,5.018397
-1461.312589,52,5.030262
-592.609309,52,5.041464
-393.505665,52,5.053072
-321.900629,52,5.064491
-499.20945,52,5.075801
-260.723087,52,5.086951
-527.686266,52,5.099226
-235.485254,52,5.110938
-726.968819,52,5.122159
-346.443915,52,5.133081
-1391.830306,52,5.144819
-407.57438,52,5.157064
-823.127854,52,5.16842
-340.923164,52,5.179333
-407.613857,52,5.191339
-676.119555,52,5.202517
-370.62695,52,5.213295
-269.179182,52,5.223873
-239.541133,52,5.236331
-429.615689,52,5.247371
-275.055756,52,5.258663
-560.419796,52,5.269729
-221.904956,52,5.281437
-440.448981,52,5.292522
-1243.972927,52,5.303476
-321.558725,52,5.315417
-679.483495,52,5.328288
-441.496129,52,5.343149
-262.001469,52,5.35599
-288.192921,52,5.367916
-231.117199,52,5.381179
-488.172165,52,5.393962
-432.619899,52,5.406068
-259.457263,52,5.417561
-282.180127,52,5.430179
-303.924575,52,5.44388
-280.21389,52,5.456256
-285.500053,52,5.468169
-643.901962,52,5.482482
-271.21557,52,5.494741
-315.388039,52,5.506391
-1199.439967,52,5.518651
-243.518901,52,5.532047
-223.77281,52,5.545449
-278.622717,52,5.558532
-1015.159433,52,5.570477
-228.88127,52,5.584144
-259.818259,52,5.596989
-365.809974,52,5.609713
-273.413103,52,5.622141
-261.482597,52,5.634512
-251.175841,52,5.646859
-260.605223,52,5.658471
-277.517588,52,5.669762
-297.827276,52,5.68222
-279.924436,52,5.693692
-287.604158,52,5.704923
-241.456625,52,5.716277
-256.265574,52,5.727937
-291.094014,52,5.744209
-233.596684,52,5.758616
-509.801288,52,5.772886
-238.950595,52,5.788987
-278.600501,52,5.802486
-238.940269,52,5.815005
-262.135334,52,5.827017
-284.500898,52,5.842303
-243.083371,52,5.855367
-268.727176,52,5.86809
-288.401431,52,5.880384
-282.13858,52,5.894608
-270.702275,52,5.90888
-567.643028,52,5.922167
-264.745925,52,5.935797
-464.115552,52,5.95171
-282.334442,52,5.963441
-256.112815,52,5.974679
-288.962151,52,5.985765
-284.323931,52,5.997098
-434.51975,52,6.010663
-438.887822,52,6.023485
-417.60796,52,6.035535
-398.966795,52,6.048486
-230.074105,52,6.060742
-273.518195,52,6.072396
-267.829646,52,6.0837
-278.740195,52,6.095823
-278.278771,52,6.107361
-316.269415,52,6.118741
-256.554952,52,6.129942
-394.047528,52,6.141276
-313.109457,52,6.15304
-262.233764,52,6.164133
-263.479484,52,6.175796
-1007.459953,52,6.188069
-450.309116,52,6.199634
-280.627849,52,6.211308
-254.136944,52,6.222711
-280.810838,52,6.23498
-272.118103,52,6.246289
-271.392923,52,6.257711
-228.268679,52,6.268819
-252.583934,52,6.28035
-259.454111,52,6.292213
-373.210825,52,6.303837
-256.552136,52,6.315216
-227.675872,52,6.327315
-253.11211,52,6.339166
-264.705051,52,6.350877
-280.688621,52,6.362182
