#{"t_start": 1785149413.770294, "env_id": "None"}
r,l,t
-311.882992,52,0.022556
-338.670076,52,0.031037
-280.892792,52,0.039764
-268.78325,52,0.047999
-308.156897,52,0.097154
-276.906803,52,0.105697
-275.659399,52,0.113916
-277.143303,52,0.122173
-326.729957,52,0.13039
-310.704335,52,0.17705
-285.007772,52,0.185396
-284.820435,52,0.193672
-581.709255,52,0.202064
-288.643933,52,0.210307
-284.449561,52,0.256553
-307.979641,52,0.264965
-288.46364,52,0.27339
-309.353967,52,0.281685
-339.20244,52,0.290123
-305.499959,52,0.33646
-315.855326,52,0.344725
-278.469485,52,0.353041
-393.602017,52,0.361308
-285.439851,52,0.369679
-299.202705,52,0.420761
-283.6657,52,0.429017
-279.860272,52,0.437457
-317.798306,52,0.44571
-753.545102,52,0.453907
-274.393031,52,0.500579
-268.223395,52,0.508883
-477.146331,52,0.517036
-362.899159,52,0.525474
-307.518381,52,0.534145
-299.028546,52,0.583785
-273.265048,52,0.592193
-289.802877,52,0.600448
-305.025948,52,0.608962
-297.323875,52,0.617247
-276.2199,52,0.664508
-305.641512,52,0.673057
-600.836673,52,0.681393
-278.777819,52,0.689719
-276.637895,52,0.697962
-294.904841,52,0.744437
-292.490101,52,0.752947
-307.763382,52,0.761268
-297.554478,52,0.769541
-276.643914,52,0.777742
-305.158571,52,0.824354
-326.570409,52,0.832624
-300.929152,52,0.841073
-371.57835,52,0.849318
-356.881147,52,0.857552
-352.045009,52,0.903773
-283.013131,52,0.912052
-632.278661,52,0.920421
-278.216493,52,0.928679
-267.731535,52,0.937074
-292.632871,52,0.989387
-303.597896,52,0.99842
-295.354712,52,1.007242
-296.569887,52,1.015866
-299.00876,52,1.024794
-299.479096,52,1.081927
-231.910788,52,1.0915
-308.215443,52,1.100262
-298.957882,52,1.109327
-323.284506,52,1.167428
-283.627647,52,1.176381
-298.706873,52,1.184696
-526.532305,52,1.193136
-294.551332,52,1.201383
-730.027952,52,1.249099
-302.443314,52,1.257699
-305.879756,52,1.265974
-287.172976,52,1.274304
-744.510435,52,1.282513
-287.597628,52,1.328955
-275.378236,52,1.337277
-282.863919,52,1.345489
-321.462369,52,1.353919
-349.446708,52,1.362213
-303.730474,52,1.40856
-315.381813,52,1.417004
-273.156923,52,1.425446
-309.978892,52,1.433732
-304.964618,52,1.441982
-267.236022,52,1.488225
-295.284828,52,1.496599
-284.751131,52,1.504995
-309.972381,52,1.513237
-299.62194,52,1.521412
-279.595942,52,1.567594
-281.882731,52,1.576032
-296.723901,52,1.584267
-264.142563,52,1.592511
-297.940056,52,1.600693
-299.646198,52,1.646879
-297.245481,52,1.655389
-284.66603,52,1.663707
-345.710736,52,1.671911
-341.50365,52,1.680125
-1311.506229,52,1.726203
-319.97644,52,1.734501
-295.1159,52,1.742979
-318.788225,52,1.751252
-307.672246,52,1.759498
-415.530474,52,1.805921
-285.821043,52,1.814161
-274.616767,52,1.822439
-384.665138,52,1.83063
-300.13402,52,1.838819
-244.547932,52,1.885348
-301.927702,52,1.893647
-284.575943,52,1.901982
-294.446236,52,1.910307
-332.435519,52,1.918557
-290.319399,52,1.964948
-306.509434,52,1.973443
-272.219858,52,1.981702
-292.881718,52,1.990119
-317.241536,52,1.998313
-694.394651,52,2.04486
-313.517072,52,2.053307
-471.852778,52,2.061618
-306.812565,52,2.069921
-294.039363,52,2.078114
-318.161161,52,2.12449
-295.150115,52,2.132764
-305.55233,52,2.141199
-306.013327,52,2.149493
-280.75437,52,2.195621
-278.739036,52,2.204157
-295.126099,52,2.212471
-296.719651,52,2.22073
-263.729082,52,2.228965
-287.968791,52,2.275359
-304.866231,52,2.283725
-285.34918,52,2.291979
-270.833376,52,2.300161
-276.456203,52,2.308578
-312.290887,52,2.35494
-302.405767,52,2.363244
-294.420366,52,2.371673
-293.730773,52,2.379967
-300.809221,52,2.388424
-276.585232,52,2.4347
-389.785238,52,2.443206
-315.236367,52,2.451503
-547.721603,52,2.459811
-298.139153,52,2.468035
-1081.84632,52,2.514007
-305.110492,52,2.522509
-263.525636,52,2.530736
-315.67182,52,2.539069
-287.872843,52,2.547286
-304.919814,52,2.593505
-267.307483,52,2.601928
-303.66006,52,2.610211
-338.653339,52,2.618503
-274.298474,52,2.626718
-265.738286,52,2.672911
-259.057787,52,2.68124
-261.036521,52,2.689709
-284.439787,52,2.697959
-297.231878,52,2.706165
-300.722391,52,2.752433
-303.938942,52,2.760767
-336.1674,52,2.769192
-312.161698,52,2.777424
-295.791317,52,2.785804
-300.227681,52,2.832391
-289.939761,52,2.840886
-306.556334,52,2.849135
-294.581762,52,2.857418
-362.379051,52,2.865642
-420.745907,52,2.911794
-268.751748,52,2.920222
-285.357971,52,2.928501
-247.708986,52,2.936875
-315.161909,52,2.945115
-310.993533,52,2.991285
-295.402037,52,2.999555
-309.770159,52,3.007928
-289.545719,52,3.016165
-277.440969,52,3.024575
-334.585398,52,3.070931
-271.384292,52,3.079184
-244.607579,52,3.08741
-375.939613,52,3.095574
-308.015147,52,3.10375
-345.069569,52,3.149844
-295.502919,52,3.158333
-343.549854,52,3.166598
-543.262439,52,3.174895
-278.260037,52,3.22126
-651.67824,52,3.22962
-255.346187,52,3.238003
-301.934599,52,3.246242
-288.00203,52,3.254456
-300.641345,52,3.300586
-287.654485,52,3.309088
-306.715141,52,3.317317
-268.973376,52,3.325786
-322.825743,52,3.334024
-481.038157,52,3.380423
-314.854534,52,3.388926
-276.913641,52,3.397126
-402.425699,52,3.405408
-297.28424,52,3.413619
-282.349087,52,3.460227
-310.335012,52,3.468585
-283.087413,52,3.476886
-302.036579,52,3.48515
-300.200628,52,3.493329
-276.356834,52,3.539545
-293.841112,52,3.547795
-319.217927,52,3.556164
-270.261917,52,3.56437
-295.650199,52,3.572531
-259.918041,52,3.618854
-298.756569,52,3.6272
-279.183353,52,3.635455
-301.412767,52,3.643674
-282.430969,52,3.651953
-340.141063,52,3.698202
-301.960837,52,3.706487
-282.666977,52,3.714696
-268.788991,52,3.723092
-606.56626,52,3.731309
-306.298162,52,3.777509
-281.239899,52,3.785807
-829.853503,52,3.794015
-291.064912,52,3.802224
-301.718147,52,3.810428
-255.246549,52,3.856453
-262.988655,52,3.864717
-515.907491,52,3.873034
-423.902294,52,3.881246
-257.472086,52,3.889422
-269.100747,52,3.935762
-302.203942,52,3.944006
-292.89313,52,3.952398
-317.846088,52,3.960644
-252.035195,52,3.968816
-255.983142,52,4.01534
-288.829853,52,4.023814
-282.770594,52,4.032056
-285.792337,52,4.040427
-291.072957,52,4.048627
-259.748091,52,4.09467
-317.57488,52,4.103058
-354.489398,52,4.111353
-397.662722,52,4.119706
-294.022046,52,4.12794
-279.40607,52,4.174185
-273.400774,52,4.182357
-282.91931,52,4.190539
-485.20821,52,4.198695
-536.731302,52,4.244495
-278.647358,52,4.253012
-293.75304,52,4.261253
-275.80169,52,4.269516
-350.303689,52,4.277692
-258.742399,52,4.323592
-407.436256,52,4.331868
-288.816847,52,4.340042
-270.471795,52,4.348192
-416.951205,52,4.356542
-395.463166,52,4.427006
-267.231136,52,4.435285
-259.064396,52,4.443508
-286.865238,52,4.45181
-286.109953,52,4.460203
-297.160042,52,4.506517
-286.022097,52,4.514801
-395.144057,52,4.522998
-1084.036978,52,4.531164
-261.326562,52,4.539568
-325.039035,52,4.585664
-261.240606,52,4.593982
-278.803616,52,4.602283
-293.595209,52,4.610591
-303.671821,52,4.618815
-303.595453,52,4.66483
-450.267461,52,4.673139
-286.57031,52,4.68134
-1326.513671,52,4.689758
-267.59607,52,4.697945
-299.445682,52,4.744154
