rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss
52.0,-300.0572775,1,0,256,5846,,,,,,,,,,
52.0,-296.09171877777777,2,0,512,4079,0.0003,5450.1754150390625,0.2,0.005372258,-1.60768304169178,-0.0043059587478637695,2480.30029296875,0.002734375,10,-0.012096698582172393
52.0,-315.4079427857143,3,0,768,3752,0.0003,5116.694970703125,0.2,0.0021365113,-1.6000696212053298,-0.001521468162536621,2376.84521484375,0.0,20,-0.004248649952933193
52.0,-312.90318147368424,4,0,1024,3606,0.0003,10176.569128417968,0.2,0.0016016287,-1.5956734538078308,-0.0014145374298095703,3886.42724609375,0.0,30,-0.004545493796467781
52.0,-313.50112858333335,5,0,1280,3527,0.0003,5408.339929199219,0.2,0.0012954224,-1.59172582924366,-0.0014367103576660156,2643.16015625,0.0,40,-0.0026474018581211568
52.0,-326.1413507241379,6,0,1536,3440,0.0003,5660.946545410156,0.2,0.0008924941,-1.586929339170456,-0.004857063293457031,2603.10546875,0.0,50,-0.0025712543516419827
52.0,-327.8905725882353,7,0,1792,3401,0.0003,8868.97901611328,0.2,0.0001679121,-1.5832491755485534,-0.006873369216918945,4390.96826171875,0.0,60,-0.001154112908989191
52.0,-323.40322466666663,8,0,2048,3364,0.0003,7453.3021484375,0.2,0.00096815266,-1.5886230170726776,-0.00292050838470459,3374.157470703125,0.0,70,-0.003168150782585144
52.0,-326.15544456818185,9,0,2304,3345,0.0003,4685.189465332031,0.2,0.0044879112,-1.5759318143129348,-0.0016846656799316406,2302.502197265625,0.0,80,-0.009076315676793456
52.0,-322.8611485102041,10,0,2560,3334,0.0003,9646.949633789063,0.2,6.49828e-05,-1.5565195202827453,9.524822235107422e-05,4509.92919921875,0.0,90,4.189605824649334e-05
52.0,-323.7280352962963,11,0,2816,3324,0.0003,4730.73120727539,0.2,0.0009627321,-1.5610319554805756,0.00015729665756225586,2410.7158203125,0.0,100,-0.0016885078279301525
