episode,reward,entropy
0,-283.4131651892323,1.6059428453445435
1,-304.00509059279034,1.6063520908355713
2,-296.95557073355866,1.6070313453674316
3,-294.19671294288736,1.607193112373352
4,-455.7891512805726,1.6067408323287964
5,-293.58111033875895,1.607224941253662
6,-246.32815532253528,1.607285737991333
7,-294.10571725299667,1.6074925661087036
8,-313.9838557969254,1.6073589324951172
9,-307.94404479534234,1.607287883758545
10,-302.4627783673998,1.6073845624923706
11,-375.6252314793573,1.6074036359786987
12,-286.46538759452875,1.607610821723938
13,-291.52985314483,1.6072478294372559
14,-370.4288047690539,1.6074446439743042
15,-421.63712812500046,1.6075599193572998
16,-290.8375633757192,1.6074063777923584
17,-318.4688962214223,1.6071505546569824
18,-262.8655740001099,1.607328176498413
19,-296.31778831105294,1.6072064638137817
20,-283.7596959805073,1.6071573495864868
21,-511.12299649818624,1.607077956199646
22,-436.43422226234,1.6069912910461426
23,-392.57362758884807,1.6073648929595947
24,-307.39014266280105,1.6068572998046875
25,-302.21087131155303,1.6069543361663818
26,-307.04532309845814,1.6069597005844116
27,-329.86104943417695,1.6068006753921509
28,-868.7844979321601,1.6070289611816406
29,-510.0844193665331,1.6067675352096558
30,-272.6490717048219,1.6068602800369263
31,-294.63908821731656,1.606641173362732
32,-299.89002925613755,1.6063663959503174
33,-262.4628768367556,1.6065655946731567
34,-321.7796651593698,1.606209635734558
35,-292.95960420685014,1.6061612367630005
36,-318.52064112182194,1.6059629917144775
37,-301.57064578684106,1.6059880256652832
38,-304.4136237845384,1.6061762571334839
39,-451.0069342530321,1.6059894561767578
40,-304.16234233856613,1.605995774269104
41,-857.9213705043653,1.605910062789917
42,-307.86815202177144,1.6059104204177856
43,-260.23228553519385,1.6061345338821411
44,-264.05564739946055,1.6057791709899902
45,-315.60878246674184,1.6058249473571777
46,-316.0834862784227,1.6058484315872192
47,-285.6117964945369,1.6058564186096191
48,-269.0181804571947,1.6057997941970825
49,-353.47251910242727,1.6055852174758911
50,-280.2774728612978,1.6057839393615723
51,-280.55611798575745,1.6055614948272705
52,-311.7593984788191,1.6055519580841064
53,-280.61805317455253,1.6055877208709717
54,-304.1662757900175,1.6054121255874634
55,-409.7626672562767,1.6050777435302734
56,-348.106438734048,1.6053311824798584
57,-247.00447011102622,1.6052836179733276
58,-335.4244493662673,1.605324625968933
59,-284.27272954293124,1.6051169633865356
60,-296.56082074003547,1.6049758195877075
61,-289.8839552525209,1.604759931564331
62,-281.08152274413175,1.6049185991287231
63,-306.5601156509077,1.6045746803283691
64,-287.36927384348286,1.6045461893081665
65,-344.027644988345,1.6043777465820312
66,-275.5486505685878,1.6042296886444092
67,-314.91755717832956,1.6036732196807861
68,-1040.5640945060334,1.6035940647125244
69,-415.77402766825435,1.603676438331604
70,-268.0156684925791,1.6033560037612915
71,-281.4636734411647,1.6027872562408447
72,-303.91040125075534,1.602510929107666
73,-450.6779006267582,1.6025011539459229
74,-275.0108785508599,1.602388620376587
75,-290.677408362168,1.6022663116455078
76,-834.8494222803876,1.602455735206604
77,-294.1144131656828,1.6017388105392456
78,-270.0347245254571,1.602186918258667
79,-295.96805821456456,1.6017565727233887
80,-295.0729908472746,1.6013054847717285
81,-290.38412182120743,1.6015759706497192
82,-300.55546111922035,1.6010619401931763
83,-308.6251885413917,1.6006311178207397
84,-313.49791486692396,1.6004000902175903
85,-269.3315387787639,1.6010870933532715
86,-291.1054924745288,1.6006616353988647
87,-304.23796408946515,1.6005527973175049
88,-457.7502985819642,1.6010690927505493
89,-372.38835731865385,1.6005219221115112
90,-424.6976534430825,1.6003012657165527
91,-297.07095015551107,1.6001847982406616
92,-330.4695294601178,1.5998255014419556
93,-294.614898440413,1.600045084953308
94,-282.19500858996275,1.6000577211380005
95,-300.59421102402916,1.5996477603912354
96,-270.85502061124475,1.5998713970184326
97,-266.6501482258518,1.5997384786605835
98,-310.39020135445696,1.5990080833435059
99,-276.143532742319,1.5990269184112549
100,-254.538562607717,1.598968744277954
101,-240.67161529089742,1.5990331172943115
102,-274.8406173973007,1.5985298156738281
103,-565.4643936572875,1.598952054977417
104,-258.29935207258296,1.5981072187423706
105,-301.0002202014615,1.597808599472046
106,-308.20628424623914,1.597184658050537
107,-274.49855415812124,1.5977152585983276
108,-350.8321651214297,1.5980206727981567
109,-304.13918259405875,1.5973562002182007
110,-562.2458821966505,1.5978666543960571
111,-253.14475494861492,1.5983517169952393
112,-422.2451294860842,1.5977702140808105
113,-314.6161891448308,1.5978068113327026
114,-290.07147016786007,1.5982333421707153
115,-308.3938710049367,1.598113775253296
116,-274.85949904174976,1.5989388227462769
117,-362.1827635081979,1.5994105339050293
118,-284.92866646472555,1.5994503498077393
119,-288.87527062527073,1.599229097366333
120,-325.8055978948263,1.6002261638641357
121,-302.9362431120358,1.599428653717041
122,-290.0119746071558,1.5996651649475098
123,-385.90220030910865,1.6011273860931396
124,-400.57350604912625,1.6001033782958984
125,-270.32819438420097,1.6008667945861816
126,-289.41842683601016,1.600249171257019
127,-281.32301987594053,1.600752592086792
128,-307.9823945936917,1.6001893281936646
129,-305.6792063109244,1.600252628326416
130,-356.94746537052214,1.6007463932037354
131,-324.1002132982218,1.601254940032959
132,-272.89247040631795,1.6017310619354248
133,-444.0461153948236,1.602537751197815
134,-267.7630917889863,1.6015769243240356
135,-270.7056488668853,1.6015918254852295
136,-737.0683214750118,1.6020786762237549
137,-259.4439348360354,1.6009156703948975
138,-309.4433620608746,1.5999071598052979
139,-805.3752091904631,1.6011028289794922
140,-289.9715608827255,1.6004818677902222
141,-271.85437927903706,1.6008111238479614
142,-300.0909959324482,1.599366307258606
143,-604.3103756571581,1.599619746208191
144,-256.9763585238943,1.6001105308532715
145,-305.2383784890208,1.598672866821289
146,-300.2592714436237,1.5986424684524536
147,-364.512874115192,1.598723292350769
148,-264.76999532085694,1.5990301370620728
149,-317.7253807605162,1.5975466966629028
150,-267.2123811851477,1.5986682176589966
151,-308.6830720346155,1.5976111888885498
152,-294.03685702184936,1.5980695486068726
153,-298.82444166345084,1.5978052616119385
154,-624.221926497557,1.5990753173828125
155,-298.0522432598989,1.5979779958724976
156,-304.4719022540704,1.5979543924331665
157,-330.3836134585688,1.598569393157959
158,-287.54874872939524,1.5983850955963135
159,-308.6812782670231,1.597458004951477
160,-281.18691188787153,1.597928524017334
161,-294.2458662336163,1.5979052782058716
162,-277.2333450573874,1.5978001356124878
163,-356.6343934908602,1.5979435443878174
164,-365.2854589436117,1.59768545627594
165,-839.3791712482895,1.5974622964859009
166,-539.7739869488174,1.596698522567749
167,-304.7510587324905,1.5970325469970703
168,-295.53288461202686,1.5957010984420776
