learning_rate,gamma,n_steps,ent_coef,run,mean_reward,std_reward,mean_unmet_demand,train_seconds
0.01,0.9,5,0.0,0,-329.1465786176308,7.369821111196592,0.0,6.7
0.007,0.95,5,0.0,1,-324.3100535707171,7.66576393441982,0.0,6.7
0.0007,0.99,5,0.0,2,-9423.281320178834,1453.6480955876686,4709.294797048163,6.6
0.0007,0.99,10,0.01,3,-313.91718537405484,55.541991473483655,13.61576830982782,5.1
0.0003,0.995,20,0.01,4,-324.3100535707171,7.66576393441982,0.0,4.6
0.0001,0.99,10,0.0,5,-9423.281320178834,1453.6480955876686,4709.294797048163,5.1
0.0005,0.98,8,0.02,6,-9423.281320178834,1453.6480955876686,4709.294797048163,5.4
0.0007,0.99,16,0.01,7,-3708.231596274925,605.483067955295,1802.9296037186127,4.6
0.00025,0.99,32,0.01,8,-324.3100535707171,7.66576393441982,0.0,3.9
0.0007,0.995,5,0.03,9,-9423.281320178834,1453.6480955876686,4709.294797048163,6.6
