learning_rate,gamma,buffer_size,batch_size,exploration_final_eps,run,mean_reward,std_reward,mean_unmet_demand,train_seconds
0.01,0.9,10000,32,0.1,0,-410.9220708553571,139.61496051335237,142.69684105241967,5.5
0.001,0.95,20000,32,0.1,1,-236.52613955510736,52.109036696928996,11.575668981686215,4.6
0.001,0.99,50000,64,0.05,2,-226.01246525523857,51.41767398301683,10.080995300643417,4.8
0.0005,0.99,50000,64,0.05,3,-246.16187829440764,12.49278896519812,3.678602480708939,4.7
0.0005,0.995,100000,128,0.02,4,-256.1647731471593,5.275078029656002,0.0,4.8
0.0001,0.99,50000,64,0.05,5,-333.9493670951505,33.4930646541793,8.327045979750414,4.6
0.0003,0.98,30000,32,0.1,6,-228.4523639450671,15.478209262559767,3.527045979750409,4.6
0.0003,0.99,100000,256,0.05,7,-245.2963632091004,16.48630405750327,2.8133620947051967,4.9
0.001,0.99,100000,64,0.01,8,-345.95069282810243,177.05003067252153,105.94884023583249,4.9
0.00025,0.995,50000,128,0.02,9,-282.4291100847606,3.933771013105765,0.0,4.9
