learning_rate,gamma,n_steps,ent_coef,clip_range,run,mean_reward,std_reward,mean_unmet_demand,train_seconds
0.01,0.9,64,0.0,0.1,0,-318.3525135967467,13.273793540430328,3.6053294013233668,6.8
0.001,0.95,128,0.0,0.2,1,-407.02981738197013,322.0313751606055,106.92878420913671,6.4
0.0003,0.99,256,0.01,0.2,2,-346.69995805622415,147.0592416323449,68.33358191834864,6.4
0.0003,0.99,512,0.01,0.2,3,-602.2140302822966,616.8251615816927,203.83214230222615,6.4
0.0001,0.995,256,0.005,0.3,4,-330.720008305756,7.304159144220662,0.0,6.4
0.0005,0.99,128,0.02,0.2,5,-286.65677395681627,71.00446306016538,27.893055757763534,6.6
0.0003,0.98,256,0.0,0.1,6,-271.4425251172471,5.753984234605647,0.1598409578867514,6.6
0.001,0.99,256,0.01,0.3,7,-949.0868521492445,221.6900724541926,353.18112439097797,7.0
0.00025,0.99,1024,0.01,0.2,8,-283.8107444295965,12.382935825654549,3.487899057594828,6.4
0.0003,0.995,256,0.03,0.2,9,-654.1838145846375,282.51688402081203,238.74222662094976,6.3
