learning_rate,gamma,hidden_size,entropy_coef,run,mean_reward,std_reward,mean_unmet_demand,train_seconds
0.01,0.9,32,0.0,0,-602.2140302822966,616.8251615816927,203.83214230222615,3.9
0.001,0.95,32,0.0,1,-324.3100535707171,7.66576393441982,0.0,3.9
0.001,0.99,64,0.0,2,-7049.57678539934,1283.6844970958145,3515.669797048163,4.0
0.0005,0.99,64,0.01,3,-5476.863234955946,3577.481971919227,2688.101871010572,4.2
0.0005,0.995,128,0.01,4,-336.14695544134923,40.89216498846527,25.265066007863766,4.2
0.0001,0.99,64,0.0,5,-315.3387445969786,51.76848429718445,20.9997545176842,3.9
0.0003,0.98,64,0.02,6,-315.6435207478325,58.98788987794521,17.593189620160793,4.0
0.0003,0.99,128,0.0,7,-318.3216204285642,44.074551919146565,9.422610028164002,4.3
0.001,0.99,128,0.01,8,-321.4540271623736,28.568477164854535,5.488448536706374,4.2
0.00025,0.995,64,0.02,9,-741.5531831745135,801.8910545247608,261.36555579798835,3.9
